municipio,lat,lon,populacao,data,casos_notificados
São Paulo (Centro),-23.5505,-46.6333,12300000,2020-01-01,4739
São Paulo (Centro),-23.5505,-46.6333,12300000,2020-02-01,6510
São Paulo (Centro),-23.5505,-46.6333,12300000,2020-03-01,5838
São Paulo (Centro),-23.5505,-46.6333,12300000,2020-04-01,5428
São Paulo (Centro),-23.5505,-46.6333,12300000,2020-05-01,4067
São Paulo (Centro),-23.5505,-46.6333,12300000,2020-06-01,650
São Paulo (Centro),-23.5505,-46.6333,12300000,2020-07-01,602
São Paulo (Centro),-23.5505,-46.6333,12300000,2020-08-01,1000
São Paulo (Centro),-23.5505,-46.6333,12300000,2020-09-01,869
São Paulo (Centro),-23.5505,-46.6333,12300000,2020-10-01,922
São Paulo (Centro),-23.5505,-46.6333,12300000,2020-11-01,584
São Paulo (Centro),-23.5505,-46.6333,12300000,2020-12-01,1051
São Paulo (Centro),-23.5505,-46.6333,12300000,2021-01-01,6147
São Paulo (Centro),-23.5505,-46.6333,12300000,2021-02-01,4240
São Paulo (Centro),-23.5505,-46.6333,12300000,2021-03-01,4146
São Paulo (Centro),-23.5505,-46.6333,12300000,2021-04-01,4151
São Paulo (Centro),-23.5505,-46.6333,12300000,2021-05-01,4523
São Paulo (Centro),-23.5505,-46.6333,12300000,2021-06-01,832
São Paulo (Centro),-23.5505,-46.6333,12300000,2021-07-01,786
São Paulo (Centro),-23.5505,-46.6333,12300000,2021-08-01,717
São Paulo (Centro),-23.5505,-46.6333,12300000,2021-09-01,875
São Paulo (Centro),-23.5505,-46.6333,12300000,2021-10-01,642
São Paulo (Centro),-23.5505,-46.6333,12300000,2021-11-01,717
São Paulo (Centro),-23.5505,-46.6333,12300000,2021-12-01,754
São Paulo (Centro),-23.5505,-46.6333,12300000,2022-01-01,4989
São Paulo (Centro),-23.5505,-46.6333,12300000,2022-02-01,6001
São Paulo (Centro),-23.5505,-46.6333,12300000,2022-03-01,4201
São Paulo (Centro),-23.5505,-46.6333,12300000,2022-04-01,5168
São Paulo (Centro),-23.5505,-46.6333,12300000,2022-05-01,5409
São Paulo (Centro),-23.5505,-46.6333,12300000,2022-06-01,596
São Paulo (Centro),-23.5505,-46.6333,12300000,2022-07-01,872
